Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Ávila;Extranjeros;Nacidos en el resto de Europa;5
Ávila;Extranjeros;Nacidos en África;58
Ávila;Extranjeros;Nacidos en América;130
Ávila;Extranjeros;Nacidos en Asia;30
Ávila;Extranjeros;Nacidos en Oceanía;2
Burgos;Total;Total;1.349
Burgos;Total;Nacidos en España;269
Burgos;Total;Nacidos en la UE27_2020;543
Burgos;Total;Nacidos en el resto de Europa;40
Burgos;Total;Nacidos en África;132
Burgos;Total;Nacidos en América;316
Burgos;Total;Nacidos en Asia;46
Burgos;Total;Nacidos en Oceanía;3
Burgos;Españoles;Total;328
Burgos;Españoles;Nacidos en España;210
Burgos;Españoles;Nacidos en la UE27_2020;7
Burgos;Españoles;Nacidos en el resto de Europa;1
Burgos;Españoles;Nacidos en África;31
Burgos;Españoles;Nacidos en América;69
Burgos;Españoles;Nacidos en Asia;10
Burgos;Españoles;Nacidos en Oceanía;0
Burgos;Extranjeros;Total;1.021
Burgos;Extranjeros;Nacidos en España;59
Burgos;Extranjeros;Nacidos en la UE27_2020;536
Burgos;Extranjeros;Nacidos en el resto de Europa;39
Burgos;Extranjeros;Nacidos en África;101
Burgos;Extranjeros;Nacidos en América;247
Burgos;Extranjeros;Nacidos en Asia;36
Burgos;Extranjeros;Nacidos en Oceanía;3
León;Total;Total;873
León;Total;Nacidos en España;273
León;Total;Nacidos en la UE27_2020;101
León;Total;Nacidos en el resto de Europa;39
León;Total;Nacidos en África;94
